Time,Dist,Measured
31,15,364
31,15,364
31,15,364
31,15,364
31,15,360
31,15,360
31,15,360
31,15,360
31,15,360
31,15,364
31,15,365
31,15,364
31,15,365
31,15,365
31,15,364
31,15,365
31,15,365
31,15,365
31,15,361
31,15,365
31,15,361
32,15,365
32,15,361
32,15,365
32,15,365
32,15,365
32,15,361
32,15,361
32,15,362
32,15,365
32,15,365
32,15,365
32,15,365
32,15,366
32,15,362
32,15,362
32,15,366
32,15,362
32,15,366
32,15,366
32,15,366
32,15,362
32,15,366
32,15,366
32,15,362
32,15,362
32,15,366
32,15,362
32,15,366
32,15,362
32,15,366
32,15,362
32,15,366
32,15,362
32,15,366
32,15,366
32,15,366
32,15,366
32,15,366
32,15,366
32,15,366
32,15,363
32,15,367
32,15,366
32,15,367
32,15,363
32,15,366
32,15,367
32,15,362
32,15,365
32,15,367
32,15,366
32,15,367
32,15,367
32,15,367
32,15,363
32,15,363
32,15,363
32,15,367
32,15,363
32,15,362
32,15,363
32,15,367
32,15,367
32,15,367
32,15,363
32,15,367
32,15,367
32,15,367
32,15,367
33,15,367
33,15,363
33,15,363
33,15,363
33,15,363
33,15,367
33,15,367
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,120
38,5,120
38,5,119
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,119
38,5,119
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,115
38,5,119
38,5,119
38,5,120
38,5,115
38,5,120
38,5,119
38,5,115
38,5,115
38,5,115
38,5,120
38,5,119
38,5,120
38,5,115
38,5,115
38,5,115
38,5,114
38,5,114
38,5,118
38,5,117
38,5,117
38,5,116
38,5,116
38,5,116
38,5,116
38,5,116
38,5,115
38,5,116
38,5,115
38,5,111
39,5,115
39,5,111
39,5,111
39,5,111
39,5,110
39,5,110
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
39,5,114
44,25,605
44,25,605
44,25,610
44,25,606
44,25,605
44,25,610
44,25,606
44,25,606
44,25,606
44,25,610
44,25,606
44,25,607
44,25,607
44,25,607
44,25,607
44,25,607
44,25,607
44,25,607
44,25,603
44,25,611
44,25,603
44,25,603
44,25,607
44,25,611
44,25,607
44,25,607
44,25,607
44,25,607
44,25,603
44,25,607
44,25,603
44,25,603
44,25,603
44,25,607
44,25,607
44,25,611
44,25,607
44,25,607
44,25,607
44,25,611
45,25,607
45,25,607
45,25,603
45,25,607
45,25,607
45,25,607
45,25,607
45,25,607
45,25,603
45,25,603
45,25,603
45,25,603
45,25,607
45,25,608
45,25,603
45,25,603
45,25,608
45,25,604
45,25,607
45,25,612
45,25,603
45,25,607
45,25,603
45,25,603
45,25,603
45,25,608
45,25,608
45,25,608
45,25,607
45,25,608
45,25,607
45,25,607
45,25,607
45,25,607
45,25,611
45,25,607
45,25,606
45,25,606
45,25,606
45,25,606
45,25,606
45,25,606
45,25,610
45,25,610
45,25,606
45,25,607
45,25,611
45,25,606
45,25,606
45,25,610
45,25,607
45,25,607
45,25,603
45,25,606
45,25,606
45,25,606
45,25,606
45,25,606
45,25,606
45,25,602
50,0,41
50,0,41
50,0,41
50,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,40
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,40
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
51,0,41
